service_id,date,exception_type
222097WSD,20160621,1
222097WSD,20160622,1
222097WSD,20160623,1
222097WSD,20160624,1
222097WSD,20160625,1
222097WSD,20160626,2
222097WSD,20160627,1
222097WSD,20160628,1
222097WSD,20160629,1
222097WSD,20160630,1
222097WSD,20160701,1
222097WSD,20160702,1
222097WSD,20160703,2
222097WSD,20160704,1
222097WSD,20160705,1
222097WSD,20160706,1
222097WSD,20160707,1
222097WSD,20160708,1
222097WSD,20160709,1
222097WSD,20160710,2
222097WSD,20160711,1
222097WSD,20160712,1
222097WSD,20160713,1
222097WSD,20160714,1
222097WSD,20160715,1
222097WSD,20160716,1
222097WSD,20160717,2
222097WSD,20160718,1
222097WSD,20160719,1
222097WSD,20160720,1
222097WSD,20160721,1
222097WSD,20160722,1
222097WSD,20160723,1
222097WSD,20160724,2
222097WSD,20160725,1
222097WSD,20160726,1
222097WSD,20160727,1
222097WSD,20160728,1
222097WSD,20160729,1
222097WSD,20160730,1
222097WSD,20160731,2
222097WSD,20160801,1
222097WSD,20160802,1
222097WSD,20160803,1
222097WSD,20160804,1
222097WSD,20160805,1
222097WSD,20160806,1
222097WSD,20160807,2
222097WSD,20160808,1
222097WSD,20160809,1
222097WSD,20160810,1
222097WSD,20160811,1
222097WSD,20160812,1
222097WSD,20160813,1
222097WSD,20160814,2
222097WSD,20160815,1
222097WSD,20160816,1
222097WSD,20160817,1
222097WSD,20160818,1
222097WSD,20160819,1
222097WSD,20160820,1
222097WSD,20160821,2
222097WSD,20160822,1
222097WSD,20160823,1
222097WSD,20160824,1
222097WSD,20160825,1
222097WSD,20160826,1
222097WSD,20160827,1
222097WSD,20160828,2
222097WSD,20160829,1
222097WSD,20160830,1
222097WSD,20160831,1
222097WSD,20160901,1
222097WSD,20160902,1
222097WSD,20160903,1
222097WSD,20160904,2
222097WSD,20160905,1
222097WSD,20160906,1
222097WSD,20160907,1
222097WSD,20160908,1
222097WSD,20160909,1
222097WSD,20160910,1
222097WSD,20160911,2
222097WSD,20160912,1
222097WSD,20160913,1
222097WSD,20160914,1
222097WSD,20160915,1
222097WSD,20160916,1
222097WSD,20160917,1
222097WSD,20160918,2
222097WD,20160621,1
222097WD,20160622,1
222097WD,20160623,1
222097WD,20160624,1
222097WD,20160625,2
222097WD,20160626,2
222097WD,20160627,1
222097WD,20160628,1
222097WD,20160629,1
222097WD,20160630,1
222097WD,20160701,1
222097WD,20160702,2
222097WD,20160703,2
222097WD,20160704,1
222097WD,20160705,1
222097WD,20160706,1
222097WD,20160707,1
222097WD,20160708,1
222097WD,20160709,2
222097WD,20160710,2
222097WD,20160711,1
222097WD,20160712,1
222097WD,20160713,1
222097WD,20160714,1
222097WD,20160715,1
222097WD,20160716,2
222097WD,20160717,2
222097WD,20160718,1
222097WD,20160719,1
222097WD,20160720,1
222097WD,20160721,1
222097WD,20160722,1
222097WD,20160723,2
222097WD,20160724,2
222097WD,20160725,1
222097WD,20160726,1
222097WD,20160727,1
222097WD,20160728,1
222097WD,20160729,1
222097WD,20160730,2
222097WD,20160731,2
222097WD,20160801,1
222097WD,20160802,1
222097WD,20160803,1
222097WD,20160804,1
222097WD,20160805,1
222097WD,20160806,2
222097WD,20160807,2
222097WD,20160808,1
222097WD,20160809,1
222097WD,20160810,1
222097WD,20160811,1
222097WD,20160812,1
222097WD,20160813,2
222097WD,20160814,2
222097WD,20160815,1
222097WD,20160816,1
222097WD,20160817,1
222097WD,20160818,1
222097WD,20160819,1
222097WD,20160820,2
222097WD,20160821,2
222097WD,20160822,1
222097WD,20160823,1
222097WD,20160824,1
222097WD,20160825,1
222097WD,20160826,1
222097WD,20160827,2
222097WD,20160828,2
222097WD,20160829,1
222097WD,20160830,1
222097WD,20160831,1
222097WD,20160901,1
222097WD,20160902,1
222097WD,20160903,2
222097WD,20160904,2
222097WD,20160905,1
222097WD,20160906,1
222097WD,20160907,1
222097WD,20160908,1
222097WD,20160909,1
222097WD,20160910,2
222097WD,20160911,2
222097WD,20160912,1
222097WD,20160913,1
222097WD,20160914,1
222097WD,20160915,1
222097WD,20160916,1
222097WD,20160917,2
222097WD,20160918,2
222097AD,20160621,1
222097AD,20160622,1
222097AD,20160623,1
222097AD,20160624,1
222097AD,20160625,1
222097AD,20160626,1
222097AD,20160627,1
222097AD,20160628,1
222097AD,20160629,1
222097AD,20160630,1
222097AD,20160701,1
222097AD,20160702,1
222097AD,20160703,1
222097AD,20160704,1
222097AD,20160705,1
222097AD,20160706,1
222097AD,20160707,1
222097AD,20160708,1
222097AD,20160709,1
222097AD,20160710,1
222097AD,20160711,1
222097AD,20160712,1
222097AD,20160713,1
222097AD,20160714,1
222097AD,20160715,1
222097AD,20160716,1
222097AD,20160717,1
222097AD,20160718,1
222097AD,20160719,1
222097AD,20160720,1
222097AD,20160721,1
222097AD,20160722,1
222097AD,20160723,1
222097AD,20160724,1
222097AD,20160725,1
222097AD,20160726,1
222097AD,20160727,1
222097AD,20160728,1
222097AD,20160729,1
222097AD,20160730,1
222097AD,20160731,1
222097AD,20160801,1
222097AD,20160802,1
222097AD,20160803,1
222097AD,20160804,1
222097AD,20160805,1
222097AD,20160806,1
222097AD,20160807,1
222097AD,20160808,1
222097AD,20160809,1
222097AD,20160810,1
222097AD,20160811,1
222097AD,20160812,1
222097AD,20160813,1
222097AD,20160814,1
222097AD,20160815,1
222097AD,20160816,1
222097AD,20160817,1
222097AD,20160818,1
222097AD,20160819,1
222097AD,20160820,1
222097AD,20160821,1
222097AD,20160822,1
222097AD,20160823,1
222097AD,20160824,1
222097AD,20160825,1
222097AD,20160826,1
222097AD,20160827,1
222097AD,20160828,1
222097AD,20160829,1
222097AD,20160830,1
222097AD,20160831,1
222097AD,20160901,1
222097AD,20160902,1
222097AD,20160903,1
222097AD,20160904,1
222097AD,20160905,1
222097AD,20160906,1
222097AD,20160907,1
222097AD,20160908,1
222097AD,20160909,1
222097AD,20160910,1
222097AD,20160911,1
222097AD,20160912,1
222097AD,20160913,1
222097AD,20160914,1
222097AD,20160915,1
222097AD,20160916,1
222097AD,20160917,1
222097AD,20160918,1
222097WE,20160621,2
222097WE,20160622,2
222097WE,20160623,2
222097WE,20160624,2
222097WE,20160625,1
222097WE,20160626,1
222097WE,20160627,2
222097WE,20160628,2
222097WE,20160629,2
222097WE,20160630,2
222097WE,20160701,2
222097WE,20160702,1
222097WE,20160703,1
222097WE,20160704,2
222097WE,20160705,2
222097WE,20160706,2
222097WE,20160707,2
222097WE,20160708,2
222097WE,20160709,1
222097WE,20160710,1
222097WE,20160711,2
222097WE,20160712,2
222097WE,20160713,2
222097WE,20160714,2
222097WE,20160715,2
222097WE,20160716,1
222097WE,20160717,1
222097WE,20160718,2
222097WE,20160719,2
222097WE,20160720,2
222097WE,20160721,2
222097WE,20160722,2
222097WE,20160723,1
222097WE,20160724,1
222097WE,20160725,2
222097WE,20160726,2
222097WE,20160727,2
222097WE,20160728,2
222097WE,20160729,2
222097WE,20160730,1
222097WE,20160731,1
222097WE,20160801,2
222097WE,20160802,2
222097WE,20160803,2
222097WE,20160804,2
222097WE,20160805,2
222097WE,20160806,1
222097WE,20160807,1
222097WE,20160808,2
222097WE,20160809,2
222097WE,20160810,2
222097WE,20160811,2
222097WE,20160812,2
222097WE,20160813,1
222097WE,20160814,1
222097WE,20160815,2
222097WE,20160816,2
222097WE,20160817,2
222097WE,20160818,2
222097WE,20160819,2
222097WE,20160820,1
222097WE,20160821,1
222097WE,20160822,2
222097WE,20160823,2
222097WE,20160824,2
222097WE,20160825,2
222097WE,20160826,2
222097WE,20160827,1
222097WE,20160828,1
222097WE,20160829,2
222097WE,20160830,2
222097WE,20160831,2
222097WE,20160901,2
222097WE,20160902,2
222097WE,20160903,1
222097WE,20160904,1
222097WE,20160905,2
222097WE,20160906,2
222097WE,20160907,2
222097WE,20160908,2
222097WE,20160909,2
222097WE,20160910,1
222097WE,20160911,1
222097WE,20160912,2
222097WE,20160913,2
222097WE,20160914,2
222097WE,20160915,2
222097WE,20160916,2
222097WE,20160917,1
222097WE,20160918,1
