trip_id,arrival_time,departure_time,stop_id,stop_sequence
J22209L11TN02,13:30:00,13:30:00,J222093340_5,1
J22209L11TN02,13:31:00,13:31:00,J22209943_1,2
J22209L11TN02,13:32:00,13:32:00,J22209944_1,3
J22209L11TN02,13:32:00,13:32:00,J22209945_1,4
J22209L11TN02,13:34:00,13:34:00,J22209946_1,5
J22209L11TN02,13:34:00,13:34:00,J22209947_1,6
J22209L11TN02,13:35:00,13:35:00,J22209948_0,7
J22209L11TN02,13:37:00,13:37:00,J22209949_0,8
J22209L11TN02,13:40:00,13:40:00,J22209950_0,9
J22209L11TN02,13:41:00,13:41:00,J22209951_0,10
J22209L11TN02,13:42:00,13:42:00,J22209952_0,11
J22209L11TN02,13:43:00,13:43:00,J22209953_0,12
J22209L11TN02,13:44:00,13:44:00,J222093343_0,13
J22209L11TN02,13:45:00,13:45:00,J222093342_0,14
J22209L11TN02,13:47:00,13:47:00,J22209954_0,15
J22209L11TN02,13:47:00,13:47:00,J22209955_0,16
J22209L11TN02,13:49:00,13:49:00,J22209833_0,17
J22209L11TN02,13:50:00,13:50:00,J222093339_0,18
J22209L11TN02,13:53:00,13:53:00,J222093340_1,19
J22209L05TU06,16:50:00,16:50:00,J222093340_1,1
J22209L05TU06,16:51:00,16:51:00,J222093339_1,2
J22209L05TU06,16:51:00,16:51:00,J22209792_1,3
J22209L05TU06,16:52:00,16:52:00,J22209832_1,4
J22209L05TU06,16:52:00,16:52:00,J222093386_1,5
J22209L05TU06,16:54:00,16:54:00,J22209786_1,6
J22209L05TU06,16:55:00,16:55:00,J22209785_1,7
J22209L05TU06,16:56:00,16:56:00,J22209784_1,8
J22209L05TU06,16:57:00,16:57:00,J22209783_1,9
J22209L05TU06,16:57:00,16:57:00,J22209782_1,10
J22209L05TU06,16:58:00,16:58:00,J22209781_1,11
J22209L05TU06,17:00:00,17:00:00,J22209851_1,12
J22209L05TU06,17:02:00,17:02:00,J22209850_1,13
J22209L05TU06,17:04:00,17:04:00,J22209849_1,14
J22209L05TU06,17:05:00,17:05:00,J22209848_1,15
J22209L05TU06,17:07:00,17:07:00,J22209847_1,16
J22209L05TU06,17:09:00,17:09:00,J22209846_1,17
J22209L05TU06,17:11:00,17:11:00,J22209845_1,18
J22209L05TU06,17:13:00,17:13:00,J22209844_1,19
J22209L05TU06,17:15:00,17:15:00,J22209843_1,20
J22209L05TU06,17:17:00,17:17:00,J22209842_1,21
J22209L05TU08,19:20:00,19:20:00,J222093340_1,1
J22209L05TU08,19:21:00,19:21:00,J222093339_1,2
J22209L05TU08,19:21:00,19:21:00,J22209792_1,3
J22209L05TU08,19:22:00,19:22:00,J22209832_1,4
J22209L05TU08,19:22:00,19:22:00,J222093386_1,5
J22209L05TU08,19:24:00,19:24:00,J22209786_1,6
J22209L05TU08,19:25:00,19:25:00,J22209785_1,7
J22209L05TU08,19:26:00,19:26:00,J22209784_1,8
J22209L05TU08,19:27:00,19:27:00,J22209783_1,9
J22209L05TU08,19:27:00,19:27:00,J22209782_1,10
J22209L05TU08,19:28:00,19:28:00,J22209781_1,11
J22209L05TU08,19:30:00,19:30:00,J22209851_1,12
J22209L05TU08,19:32:00,19:32:00,J22209850_1,13
J22209L05TU08,19:34:00,19:34:00,J22209849_1,14
J22209L05TU08,19:35:00,19:35:00,J22209848_1,15
