route_id,service_id,trip_id,trip_headsign,trip_short_name,direction_id,shape_id
J22209L012,222097WSD,J22209L012TU02,川根温泉,2,1,
J22209L09,222097AD,J22209L09TL05,菊川神谷城線 下り,14,0,5082529006616576
J22209L08,222097AD,J22209L08TU01,夢づくり会館線 横岡新田行き,3,1,6241757859676160
J22209L12,222097WD,J22209L12TD03,六合南線 下り,3,0,5743868070854656
J22209L13,222097AD,J22209L13TD09,島田駅,9,0,6218558593826816
J22209L04,222097AD,J22209L04TD08,島田駅,15,0,5763418761986048
J22209L02,222097AD,J22209L02TD05,伊久身線 島田駅行き,5,0,4847776831635456
J22209L02,222097AD,J22209L02TU09,伊久身線 御堂沢行き,9,1,5810021304631296
J22209L12,222097WD,J22209L12TD04,六合南線 下り,4,0,5743868070854656
J22209L05,222097AD,J22209L05TU02,田代の郷温泉,2,1,4801054029905920
J22209L05,222097AD,J22209L05TD06,島田駅,6,0,5167242941562880
J22209L04,222097AD,J22209L04TD02,島田駅,3,0,5763418761986048
J22209L04,222097AD,J22209L04TD03,島田駅,5,0,5763418761986048
J22209L02,222097AD,J22209L02TD02,伊久身線 島田駅行き,2,0,4819316230848512
J22209L02,222097AD,J22209L02TU12,伊久身線 御堂沢行き,12,1,5810021304631296
J22209L08,222097AD,J22209L08TU03,夢づくり会館線 横岡新田行き,9,1,6241757859676160
J22209L07,222097AD,J22209L07TD04,金谷駅,10,0,6208428913459200
J22209L011,222097WSD,J22209L011TD03,家山駅,3,0,6035427630776320
J22209L05,222097AD,J22209L05TU04,田代の郷温泉,4,1,4801054029905920
J22209L05,222097AD,J22209L05TD08,島田駅,8,0,5167242941562880
J22209L03,222097WD,J22209L03TU02,川根温泉,2,1,4684121397788672
J22209L06,222097AD,J22209L06TR04,金谷循環線 下り,11,0,6295644666855424
J22209L05,222097AD,J22209L05TD02,島田駅,2,0,5167242941562880
J22209L04,222097AD,J22209L04TD05,島田駅,9,0,5763418761986048
J22209L04,222097AD,J22209L04TU05,相賀,10,1,4811183710273536
J22209L10,222097AD,J22209L10TD06,大津線 下り,6,0,5106333862854656
J22209L11,222097WD,J22209L11TN02,島田駅東線 島田駅北口行き,3,0,4858703228436480
J22209L05,222097AD,J22209L05TU06,田代の郷温泉,6,1,4801054029905920
J22209L05,222097AD,J22209L05TU08,田代の郷温泉,8,1,4801054029905920
J22209L05,222097AD,J22209L05TD03,島田駅,3,0,5167242941562880
J22209L13,222097AD,J22209L13TU04,本村,4,1,5111298845048832
J22209L10,222097AD,J22209L10TD09,大津線 下り,9,0,5106333862854656
J22209L03,222097WD,J22209L03TD06,島田駅,6,0,5796346128760832
J22209L05,222097AD,J22209L05TD04,島田駅,4,0,5167242941562880
J22209L03,222097WE,J22209L03TU01,川根温泉,1,1,4684121397788672
J22209L09,222097AD,J22209L09TL04,菊川神谷城線 下り,11,0,5082529006616576
J22209L13,222097AD,J22209L13TU09,本村,9,1,5111298845048832
J22209L02,222097AD,J22209L02TU06,伊久身線 御堂沢行き,6,1,5810021304631296
J22209L02,222097WD,J22209L02TU08,伊久身線 御堂沢行き,8,1,5810021304631296
J22209L02,222097WE,J22209L02TU02H,伊久身線 御堂沢行き,2H,1,5810021304631296
J22209L03,222097AD,J22209L03TD05,島田駅,5,0,5796346128760832
J22209L08,222097AD,J22209L08TD01,夢づくり会館線 金谷駅行き,1,0,5378170932953088
J22209L08,222097AD,J22209L08TU04,夢づくり会館線 横岡新田行き,12,1,6241757859676160
J22209L011,222097WSD,J22209L011TU02,日掛,2,1,4888269783302144
J22209L05,222097AD,J22209L05TD07,島田駅,7,0,5167242941562880
J22209L04,222097AD,J22209L04TU07,相賀,14,1,4811183710273536
J22209L03,222097AD,J22209L03TU03,川根温泉,3,1,4684121397788672
J22209L07,222097AD,J22209L07TU04,栗島公民館,12,1,5932917498839040
J22209L13,222097AD,J22209L13TD07,島田駅,7,0,6218558593826816
J22209L03,222097WD,J22209L03TU04,川根温泉,4,1,4684121397788672
J22209L05,222097AD,J22209L05TU03,田代の郷温泉,3,1,4801054029905920
J22209L04,222097AD,J22209L04TD01,島田駅,1,0,5763418761986048
J22209L02,222097WD,J22209L02TD03,伊久身線 島田駅行き,3,0,4819316230848512
J22209L02,222097WE,J22209L02TD04H,伊久身線 島田駅行き,4H,0,4819316230848512
J22209L07,222097AD,J22209L07TU03,栗島公民館,9,1,5932917498839040
J22209L13,222097AD,J22209L13TU03,本村,3,1,5111298845048832
J22209L13,222097AD,J22209L13TU07,本村,7,1,5111298845048832
J22209L04,222097AD,J22209L04TU02,相賀,4,1,4811183710273536
J22209L07,222097AD,J22209L07TD01,金谷駅,1,0,6208428913459200
J22209L04,222097AD,J22209L04TD07,島田駅,13,0,5763418761986048
J22209L02,222097WD,J22209L02TD10,伊久身線 島田駅行き,10,0,4819316230848512
J22209L02,222097WE,J22209L02TU01H,伊久身線 御堂沢行き,1H,1,5364003983327232
J22209L03,222097WE,J22209L03TD10,島田駅,10,0,5796346128760832
J22209L03,222097WE,J22209L03TU08,川根温泉,8,1,4684121397788672
J22209L08,222097AD,J22209L08TU05,夢づくり会館線 横岡新田行き,15,1,6241757859676160
J22209L011,222097WSD,J22209L011TD05,家山駅,5,0,6035427630776320
J22209L02,222097WD,J22209L02TU01,伊久身線 御堂沢行き,1,1,5810021304631296
J22209L02,222097WE,J22209L02TU04H,伊久身線 御堂沢行き,4H,1,5810021304631296
J22209L12,222097WD,J22209L12TD05,六合南線 下り,5,0,5743868070854656
J22209L13,222097AD,J22209L13TU08,本村,8,1,5111298845048832
J22209L02,222097WE,J22209L02TD03H,伊久身線 島田駅行き,3H,0,4847776831635456
J22209L07,222097AD,J22209L07TD03,金谷駅,7,0,6208428913459200
J22209L05,222097AD,J22209L05TU01,田代の郷温泉,1,1,4801054029905920
J22209L05,222097AD,J22209L05TD01,島田駅,1,0,5167242941562880
J22209L13,222097AD,J22209L13TD03,島田駅,3,0,6218558593826816
J22209L04,222097AD,J22209L04TD04,島田駅,7,0,5763418761986048
J22209L02,222097AD,J22209L02TD01,伊久身線 島田駅行き,1,0,4819316230848512
J22209L012,222097WSD,J22209L012TU04,川根温泉,4,1,
J22209L12,222097WD,J22209L12TD01,六合南線 下り,1,0,5743868070854656
J22209L02,222097AD,J22209L02TD07,伊久身線 島田駅行き,7,0,4847776831635456
J22209L02,222097AD,J22209L02TD09,伊久身線 島田駅行き,9,0,4819316230848512
J22209L02,222097WD,J22209L02TU04,伊久身線 御堂沢行き,4,1,5364003983327232
J22209L07,222097AD,J22209L07TU02,栗島公民館,6,1,5932917498839040
J22209L12,222097WD,J22209L12TD02,六合南線 下り,2,0,5743868070854656
J22209L11,222097WD,J22209L11TN03,島田駅東線 島田駅北口行き,5,0,4858703228436480
J22209L11,222097WD,J22209L11TS01,島田駅東線 島田駅南口行き,2,1,5941120886374400
J22209L03,222097AD,J22209L03TD07,島田駅,7,0,5796346128760832
J22209L09,222097AD,J22209L09TL02,菊川神谷城線 下り,5,0,5082529006616576
J22209L08,222097AD,J22209L08TD05,夢づくり会館線 金谷駅行き,13,0,5378170932953088
J22209L07,222097AD,J22209L07TU01,栗島公民館,3,1,5932917498839040
J22209L011,222097WSD,J22209L011TD01,家山駅,1,0,6035427630776320
J22209L05,222097AD,J22209L05TD05,島田駅,5,0,5167242941562880
J22209L05,222097AD,J22209L05TD09,島田駅,9,0,5167242941562880
J22209L13,222097AD,J22209L13TU06,本村,6,1,5111298845048832
J22209L13,222097AD,J22209L13TD04,島田駅,4,0,6218558593826816
J22209L02,222097AD,J22209L02TU10,伊久身線 御堂沢行き,10,1,5810021304631296
J22209L13,222097AD,J22209L13TD08,島田駅,8,0,6218558593826816
J22209L06,222097AD,J22209L06TR01,金谷循環線 下り,2,0,6295644666855424
J22209L07,222097AD,J22209L07TU05,栗島公民館,15,1,5932917498839040
J22209L04,222097AD,J22209L04TD06,島田駅,11,0,5763418761986048
J22209L13,222097AD,J22209L13TU01,本村,1,1,5111298845048832
J22209L02,222097AD,J22209L02TU05,伊久身線 御堂沢行き,5,1,5364003983327232
J22209L02,222097AD,J22209L02TU07,伊久身線 御堂沢行き,7,1,5810021304631296
J22209L02,222097WD,J22209L02TD04,伊久身線 島田駅行き,4,0,4847776831635456
J22209L02,222097AD,J22209L02TD08,伊久身線 島田駅行き,8,0,4819316230848512
J22209L03,222097AD,J22209L03TU05,川根温泉,5,1,4684121397788672
J22209L09,222097AD,J22209L09TL01,菊川神谷城線 下り,2,0,5082529006616576
J22209L09,222097AD,J22209L09TL03,菊川神谷城線 下り,8,0,5082529006616576
J22209L07,222097AD,J22209L07TD02,金谷駅,4,0,6208428913459200
J22209L13,222097AD,J22209L13TU05,本村,5,1,5111298845048832
J22209L13,222097AD,J22209L13TD06,島田駅,6,0,6218558593826816
J22209L04,222097AD,J22209L04TD09,島田駅,17,0,5763418761986048
J22209L04,222097AD,J22209L04TU01,相賀,2,1,4811183710273536
J22209L04,222097AD,J22209L04TU09,相賀,18,1,4811183710273536
J22209L012,222097WSD,J22209L012TD01,家山駅,1,0,
J22209L11,222097WD,J22209L11TS03,島田駅東線 島田駅南口行き,6,1,5941120886374400
J22209L011,222097WSD,J22209L011TU06,日掛,6,1,4888269783302144
J22209L04,222097AD,J22209L04TU06,相賀,12,1,4811183710273536
J22209L02,222097WD,J22209L02TU02,伊久身線 御堂沢行き,2,1,5364003983327232
J22209L06,222097AD,J22209L06TR02,金谷循環線 下り,5,0,6295644666855424
J22209L08,222097AD,J22209L08TD03,夢づくり会館線 金谷駅行き,7,0,5378170932953088
J22209L10,222097AD,J22209L10TD02,大津線 下り,2,0,5106333862854656
J22209L10,222097AD,J22209L10TD05,大津線 下り,5,0,5106333862854656
J22209L10,222097AD,J22209L10TD08,大津線 下り,8,0,5106333862854656
J22209L02,222097WE,J22209L02TU08H,伊久身線 御堂沢行き,8H,1,5364003983327232
J22209L02,222097AD,J22209L02TU11,伊久身線 御堂沢行き,11,1,5810021304631296
J22209L012,222097WSD,J22209L012TD03,家山駅,3,0,
J22209L07,222097AD,J22209L07TD05,金谷駅,13,0,6208428913459200
J22209L12,222097WD,J22209L12TD06,六合南線 下り,6,0,5743868070854656
J22209L011,222097WSD,J22209L011TU04,日掛,4,1,4888269783302144
J22209L05,222097AD,J22209L05TU05,田代の郷温泉,5,1,4801054029905920
J22209L05,222097AD,J22209L05TU07,田代の郷温泉,7,1,4801054029905920
J22209L10,222097AD,J22209L10TD07,大津線 下り,7,0,5106333862854656
J22209L02,222097WD,J22209L02TD06,伊久身線 島田駅行き,6,0,4847776831635456
J22209L11,222097WD,J22209L11TN01,島田駅東線 島田駅北口行き,1,0,4858703228436480
J22209L08,222097AD,J22209L08TD02,夢づくり会館線 金谷駅行き,4,0,5378170932953088
J22209L04,222097AD,J22209L04TU03,相賀,6,1,4811183710273536
J22209L04,222097AD,J22209L04TU04,相賀,8,1,4811183710273536
J22209L04,222097AD,J22209L04TU08,相賀,16,1,4811183710273536
J22209L10,222097AD,J22209L10TD04,大津線 下り,4,0,5106333862854656
J22209L02,222097AD,J22209L02TD12,伊久身線 島田駅行き,12,0,4819316230848512
J22209L06,222097AD,J22209L06TR03,金谷循環線 下り,8,0,6295644666855424
J22209L06,222097AD,J22209L06TR05,金谷循環線 下り,14,0,6295644666855424
J22209L08,222097AD,J22209L08TD04,夢づくり会館線 金谷駅行き,10,0,5378170932953088
J22209L13,222097AD,J22209L13TD02,島田駅,2,0,6218558593826816
J22209L08,222097AD,J22209L08TU02,夢づくり会館線 横岡新田行き,6,1,6241757859676160
J22209L13,222097AD,J22209L13TU02,本村,2,1,5111298845048832
J22209L13,222097AD,J22209L13TD01,島田駅,1,0,6218558593826816
J22209L10,222097AD,J22209L10TD03,大津線 下り,3,0,5106333862854656
J22209L02,222097AD,J22209L02TD11,伊久身線 島田駅行き,11,0,4819316230848512
J22209L02,222097AD,J22209L02TU03,伊久身線 御堂沢行き,3,1,5364003983327232
J22209L03,222097WE,J22209L03TD03,島田駅,3,0,5796346128760832
J22209L03,222097WD,J22209L03TD04,島田駅,4,0,5796346128760832
J22209L02,222097WE,J22209L02TD06H,伊久身線 島田駅行き,6H,0,4819316230848512
J22209L02,222097WE,J22209L02TD10H,伊久身線 島田駅行き,10H,0,4847776831635456
J22209L11,222097WD,J22209L11TS02,島田駅東線 島田駅南口行き,4,1,5941120886374400
J22209L13,222097AD,J22209L13TD05,島田駅,5,0,6218558593826816
J22209L10,222097AD,J22209L10TD01,大津線 下り,1,0,5106333862854656
