stop_id,stop_name,stop_desc,stop_lat,stop_lon,stop_url,location_type,parent_station,wheelchair_boarding
J22209836,島田商業高校,島田市,34.833103,138.184097,,1,,0
J222093342_0,大津通り,島田市,34.838673,138.179367,,0,J222093342,0
J22209756_1,若松町西,島田市,34.8379304,138.1595728,,0,J22209756,0
J22209723_1,小川,島田市,34.9272744,138.1396824,,0,J22209723,0
J22209010,東町東,島田市,34.8271515,138.1394508,,1,,0
J22209744,渡口,島田市,34.8612354,138.1303412,,1,,0
J22209740,五番組公会堂,島田市,34.8705746,138.1176945,,1,,0
J22209785_1,旗指東,島田市,34.8416867,138.1716639,,0,J22209785,0
J22209851_0,向谷元町,島田市,34.8447787,138.1565929,,0,J22209851,0
J22209753_1,第一小学校,島田市,34.8410792,138.1540738,,0,J22209753,0
J22209727_1,長島,島田市,34.910398,138.1282095,,0,J22209727,0
J22209838_1,御仮屋,島田市,34.8347821,138.1902616,,0,J22209838,0
J22209013_0,むらい金谷店前,島田市,34.828996,138.1379059,,0,J22209013,0
J22209930_0,六合小学校,島田市,34.836083,138.2100164,,0,J22209930,0
J22209898_0,栄町公会堂前,島田市,34.829557,138.1281511,,0,J22209898,0
J22209922_1,粟原,島田市,35.0287499,138.1537757,,0,J22209922,0
J22209858_1,島中,島田市,34.8408766,138.1238564,,0,J22209858,0
J22209927_1,久野1,島田市,35.0356278,138.1670589,,0,J22209927,0
J22209822_1,ぎんもくせい,島田市,34.860818,138.17982,,0,J22209822,0
J22209779_0,向谷一丁目,島田市,34.843062,138.1493257,,0,J22209779,0
J22209739,大沢橋,島田市,34.8713642,138.1163577,,1,,0
J22209914_0,高日向,島田市,34.9881357,138.1279822,,0,J22209914,0
J22209780_0,三ッ合町西,島田市,34.841718,138.1555883,,0,J22209780,0
J22209729_0,伊久身幼稚園上,島田市,34.9050056,138.1120063,,0,J22209729,0
J22209792,幸町,島田市,34.8346937,138.175119,,1,,0
J22209872,四分一,島田市,34.850528,138.0877886,,1,,0
J22209941,消防団詰所北,島田市,34.834617,138.2166309,,1,,0
J22209908,笹間渡駅前,島田市,34.9626737,138.0863802,,1,,0
J22209798,下湯日,島田市,34.801809,138.196299,,1,,0
J22209897_0,栄町,島田市,34.827221,138.1294272,,0,J22209897,0
J22209828_0,上野田,島田市,34.849216,138.182819,,0,J22209828,0
J22209835_0,本通六丁目,島田市,34.8322331,138.1806545,,0,J22209835,0
